Origen,Destino,Distancia_KM,Tiempo_Horas,Peaje_MXN
San Luis Potosí,Mérida,1705.49,21.01861111111111,2220.0
San Luis Potosí,Zacatecas,189.928,2.4944444444444445,0.0
Culiacán,Hermosillo,701.126,8.231944444444444,801.0
Culiacán,Villahermosa,1968.987,22.726666666666667,4990.0
Culiacán,Ciudad Victoria,1263.355,14.768611111111111,1825.0
Culiacán,Tlaxcala,1331.407,15.26388888888889,3888.0
Culiacán,Xalapa,1484.789,17.073333333333334,4142.0
Culiacán,Mérida,2529.789,30.454722222222223,5365.0
Culiacán,Zacatecas,750.351,8.949722222222222,1344.0
Hermosillo,Villahermosa,2633.312,30.122777777777777,5841.0
Hermosillo,Ciudad Victoria,1927.68,22.165,2676.0
Hermosillo,Tlaxcala,1995.732,22.66,4739.0
Hermosillo,Xalapa,2149.114,24.469444444444445,4993.0
Hermosillo,Mérida,3194.114,37.85111111111111,6216.0
Hermosillo,Zacatecas,1414.676,16.345833333333335,2195.0
Villahermosa,Ciudad Victoria,1142.17,13.87888888888889,1763.0
Villahermosa,Tlaxcala,665.657,8.1575,0.0
Villahermosa,Xalapa,567.044,6.838611111111111,963.0
Villahermosa,Mérida,559.446,7.793055555555555,301.0
Villahermosa,Zacatecas,1343.119,15.687777777777777,1845.0
Ciudad Victoria,Tlaxcala,647.301,8.404166666666667,908.0
Ciudad Victoria,Xalapa,703.286,8.656944444444445,1116.0
Ciudad Victoria,Mérida,1696.313,21.362222222222222,2271.0
Ciudad Victoria,Zacatecas,514.89,6.0375,415.0
Tlaxcala,Xalapa,175.931,2.2952777777777778,462.0
Tlaxcala,Mérida,1220.418,15.70138888888889,1556.0
Tlaxcala,Zacatecas,694.793,8.0,743.0
Xalapa,Mérida,1126.309,14.506666666666666,1287.0
Xalapa,Zacatecas,847.497,9.884444444444444,997.0
Mérida,Zacatecas,1902.837,23.20916666666667,2220.0
